train_loss,val_loss,train_acc,val_acc
3.0430767743483833,1.5464096903800963,24.829931972789115,57.46031746031746
1.3287008171496184,0.6323483228683472,61.156462585034014,82.53968253968254
0.7523972780808158,0.3535312354564667,77.95918367346938,88.88888888888889
0.5070877813774607,0.2398327350616455,84.89795918367346,93.33333333333333
0.41267415362855664,0.17191217839717865,87.89115646258503,94.60317460317461
0.2821617191252501,0.1418190360069275,91.56462585034014,95.87301587301587
0.2671652309920477,0.11496353149414062,92.04081632653062,96.19047619047619
0.23977376747390497,0.10241052210330963,93.12925170068027,96.82539682539682
0.19963123260632806,0.08987631872296334,94.21768707482993,97.46031746031746
0.1787842962404956,0.08456519842147828,94.35374149659864,97.77777777777777
0.17798367353237193,0.07246826067566872,94.5578231292517,97.77777777777777
0.15326253243762514,0.07226505875587463,95.03401360544218,97.77777777777777
0.1495481266275696,0.07042220830917359,95.85034013605443,96.82539682539682
0.151378126895946,0.06766178756952286,95.64625850340136,97.14285714285714
0.12540597055593264,0.061060136556625365,95.78231292517007,97.77777777777777
0.12521031936225685,0.06244459673762322,96.39455782312925,98.0952380952381
0.10422185103854407,0.05587487891316414,97.00680272108843,98.73015873015873
0.10314368148860724,0.05364264287054539,97.00680272108843,98.41269841269842
0.12922109193775966,0.05121734142303467,96.3265306122449,98.41269841269842
0.08503333924581176,0.05202040150761604,97.48299319727892,97.77777777777777
