train_loss,val_loss,train_acc,val_acc
3.274561819822892,3.1103753089904784,6.326530612244898,4.761904761904762
3.0719237534896187,3.087108325958252,8.843537414965986,10.158730158730158
3.0445624330769414,3.3316340923309324,8.91156462585034,14.920634920634921
3.003645762153294,3.146689510345459,10.952380952380953,15.238095238095237
2.9214827703393023,3.5322065353393555,14.217687074829932,17.142857142857142
2.8664776656938638,3.0424280166625977,14.89795918367347,19.047619047619047
2.7729099522466245,3.090408182144165,16.802721088435373,20.0
2.7572006660958994,2.941009521484375,16.802721088435373,19.365079365079364
2.7253127616384756,2.9682238578796385,17.142857142857142,16.50793650793651
2.661876968715502,3.063084936141968,19.523809523809526,22.22222222222222
2.6512015384176504,2.686288070678711,20.816326530612244,21.58730158730159
2.581354929053265,2.6542527198791506,20.272108843537413,26.03174603174603
2.540510758109715,2.663936901092529,20.476190476190474,25.714285714285715
2.496087634045145,2.6281410217285157,23.80952380952381,27.3015873015873
2.463225375051084,2.5220520734786986,24.217687074829932,31.11111111111111
2.346006849537725,2.400554895401001,27.210884353741495,32.698412698412696
2.373686194419861,2.248843240737915,30.0,36.82539682539682
2.2861715088719907,2.225454592704773,30.13605442176871,33.65079365079365
2.282697190409121,2.385696053504944,29.45578231292517,34.92063492063492
2.296623857124992,2.234578275680542,28.367346938775512,36.19047619047619
